,survived,pclass,fare,age,sex,embark
872,0,1,5.0,33.0,1,S
873,0,3,9.0,47.0,1,S
874,1,2,24.0,28.0,0,C
875,1,3,7.225,15.0,0,C
876,0,3,9.8458,20.0,1,S
877,0,3,7.8958,19.0,1,S
879,1,1,83.1583,56.0,0,C
880,1,2,26.0,25.0,0,S
881,0,3,7.8958,33.0,1,S
882,0,3,10.5167,22.0,0,S
883,0,2,10.5,28.0,1,S
884,0,3,7.05,25.0,1,S
885,0,3,29.125,39.0,0,Q
886,0,2,13.0,27.0,1,S
887,1,1,30.0,19.0,0,S
889,1,1,30.0,26.0,1,C
890,0,3,7.75,32.0,1,Q
